libklibc:amd64	2.0.14-1ubuntu2	amd64
libkmod2:amd64	34.2-2ubuntu2	amd64
libkrb5-3:amd64	1.22.1-2ubuntu4	amd64
libkrb5support0:amd64	1.22.1-2ubuntu4	amd64
libksba8:amd64	1.6.7-2build1	amd64
liblc3-1:amd64	1.1.3+dfsg-1build1	amd64
liblcms2-2:amd64	2.17-1ubuntu0.2	amd64
libldacbt-abr2:amd64	2.0.2.3+git20200429+ed310a0-5build1	amd64
libldacbt-enc2:amd64	2.0.2.3+git20200429+ed310a0-5build1	amd64
libldap-common	2.6.10+dfsg-1ubuntu5	all
libldap2:amd64	2.6.10+dfsg-1ubuntu5	amd64
libldb2:amd64	2:2.11.0+samba4.23.6+dfsg-1ubuntu2.1	amd64
liblerc4:amd64	4.0.0+ds-5ubuntu2	amd64
liblightdm-gobject-1-0:amd64	1.32.0-6ubuntu4	amd64
liblilv-0-0:amd64	0.26.2-1	amd64
liblirc-client0t64:amd64	0.10.2-0.10ubuntu1	amd64
libllvm21:amd64	1:21.1.8-6ubuntu1	amd64
liblmdb0:amd64	0.9.31-1build2	amd64
liblocale-gettext-perl	1.07-8	amd64
liblsan0:amd64	16-20260322-1ubuntu1	amd64
liblsof0	4.99.4+dfsg-2build2	amd64
libltdl7:amd64	2.5.4-9	amd64
liblua5.2-0:amd64	5.2.4-4	amd64
liblua5.4-0:amd64	5.4.8-1build1	amd64
liblvm2cmd2.03:amd64	2.03.31-2ubuntu3	amd64
liblwp-mediatypes-perl	6.04-2	all
liblwp-protocol-https-perl	6.14-1	all
liblz4-1:amd64	1.10.0-8	amd64
liblzma5:amd64	5.8.3-1	amd64
liblzo2-2:amd64	2.10-3build2	amd64
libmagic-mgc	1:5.46-5build2	amd64
libmagic1t64:amd64	1:5.46-5build2	amd64
libmailtools-perl	2.22-1	all
libmatroska7:amd64	1.7.1-2	amd64
libmaxminddb0:amd64	1.12.2-1build2	amd64
libmbedcrypto16:amd64	3.6.5-0.1ubuntu2	amd64
libmd0:amd64	1.1.0-2build4	amd64
libmd4c0:amd64	0.5.2-2build1	amd64
libmnl0:amd64	1.0.5-3build1	amd64
libmodule-find-perl	0.17-1	all
libmount1:amd64	2.41.3-3ubuntu2	amd64
libmp3lame0:amd64	3.101~svn6525+dfsg-2	amd64
libmpathcmd0	0.14.3-2ubuntu1	amd64
libmpathpersist0	0.14.3-2ubuntu1	amd64
libmpc3:amd64	1.3.1-3	amd64
libmpcdec6:amd64	2:0.1~r495-3build1	amd64
libmpfr6:amd64	4.2.2-3	amd64
libmpg123-0t64:amd64	1.33.3-2	amd64
libmtdev1t64:amd64	1.1.7-1build1	amd64
libmtp-common	1.1.22-1ubuntu1	all
libmtp-runtime	1.1.22-1ubuntu1	amd64
libmtp9t64:amd64	1.1.22-1ubuntu1	amd64
libmujs3:amd64	1.3.8-2	amd64
libmultipath0	0.14.3-2ubuntu1	amd64
libmysofa1:amd64	1.3.3+dfsg-1ubuntu2	amd64
libncurses6:amd64	6.6+20251231-1	amd64
libncursesw6:amd64	6.6+20251231-1	amd64
libnet-dbus-perl	1.2.0-2build4	amd64
libnet-http-perl	6.24-1build1	all
libnet-smtp-ssl-perl	1.04-2	all
libnet-ssleay-perl:amd64	1.94-3	amd64
libnetplan1:amd64	1.2-1ubuntu5	amd64
libnettle8t64:amd64	3.10.2-1	amd64
libnfs14:amd64	5.0.2-1ubuntu1	amd64
libnghttp2-14:amd64	1.68.0-2ubuntu0.1	amd64
libnl-3-200:amd64	3.12.0-2	amd64
libnl-genl-3-200:amd64	3.12.0-2	amd64
libnorm1t64:amd64	1.5.9+dfsg-4	amd64
libnotify4:amd64	0.8.8-1	amd64
libnpth0t64:amd64	1.8-3build1	amd64
libnspr4:amd64	2:4.38.2-1ubuntu1	amd64
libnss-systemd:amd64	259.5-0ubuntu3	amd64
libnss3:amd64	2:3.120-1ubuntu2	amd64
libnuma1:amd64	2.0.19-1build1	amd64
libobrender32	3.6.1-12ubuntu3	amd64
libobt2:amd64	3.6.1-12ubuntu3	amd64
libogg0:amd64	1.3.6-2	amd64
libonig5:amd64	6.9.10-1build1	amd64
libopenal-data	1:1.25.1-2	all
libopenal1:amd64	1:1.25.1-2	amd64
libopengl0:amd64	1.7.0-3	amd64
libopeniscsiusr	2.1.11-3ubuntu3	amd64
libopenjp2-7:amd64	2.5.4-1ubuntu0.1	amd64
libopenmpt-modplug1:amd64	0.8.9.0-openmpt1-2build3	amd64
libopenmpt0t64:amd64	0.8.4-1	amd64
libopus0:amd64	1.6.1-1	amd64
libopusfile0:amd64	0.12-4build4	amd64
liborc-0.4-0t64:amd64	1:0.4.42-2	amd64
libp11-kit0:amd64	0.26.2-2	amd64
libpackagekit-glib2-18:amd64	1.3.4-3ubuntu1	amd64
libpam-cap:amd64	1:2.75-10ubuntu2	amd64
libpam-modules-bin	1.7.0-5ubuntu3	amd64
libpam-modules:amd64	1.7.0-5ubuntu3	amd64
libpam-runtime	1.7.0-5ubuntu3	all
libpam-systemd:amd64	259.5-0ubuntu3	amd64
libpam0g:amd64	1.7.0-5ubuntu3	amd64
libpango-1.0-0:amd64	1.57.0-1	amd64
libpangocairo-1.0-0:amd64	1.57.0-1	amd64
libpangoft2-1.0-0:amd64	1.57.0-1	amd64
libpangomm-1.4-1v5:amd64	2.46.4-2	amd64
